Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Scott Blewett,3 Tms,26,2,44.1,7.11,3.65,1.83,0.275,68.1,5.48,5.48,4.58,-0.5
AJ Smith-Shawver,ATL,9,9,44.1,8.53,4.26,0.81,0.306,75.3,3.86,3.9,4.36,0.6
Tanner Houck,BOS,9,9,43.2,6.6,3.5,2.06,0.338,58.5,8.04,6.16,4.73,-0.3
Chris Flexen,CHC,21,1,43.2,4.53,2.47,1.44,0.226,79.6,3.09,5.04,5.11,-0.3
Chad Green,TOR,45,0,43.2,7.21,2.68,2.89,0.294,81.9,5.56,6.73,5.0,-0.9
Carlos Hernández,3 Tms,41,0,43.1,8.1,4.57,0.83,0.338,61.4,6.23,4.2,5.17,0.1
Caleb Boushley,TEX,25,1,43.1,8.52,2.91,1.04,0.374,58.7,6.02,3.85,3.95,0.2
Chase Burns,CIN,13,8,43.1,13.92,3.32,1.04,0.36,64.0,4.57,2.65,2.68,1.4
Gordon Graceffo,STL,26,0,43.0,8.37,2.72,0.42,0.353,51.4,6.28,2.93,3.86,0.5
Kyle Hart,SDP,20,6,43.0,7.74,2.72,1.88,0.246,61.9,5.86,5.18,4.93,-0.2
Danny Coulombe,2 Tms,55,1,43.0,9.0,3.77,0.63,0.259,85.2,2.3,3.3,4.04,0.7
Tim Herrin,CLE,54,0,42.2,9.49,6.33,1.05,0.296,75.8,4.85,5.08,5.22,-0.4
Génesis Cabrera,4 Tms,40,0,42.2,7.38,3.8,2.53,0.283,69.1,6.54,6.56,5.14,-0.9
Jordan Romano,PHI,49,0,42.2,9.91,3.59,2.11,0.318,49.0,8.23,5.39,4.33,-0.4
Landon Knack,LAD,10,7,42.1,8.93,4.04,2.13,0.268,76.6,4.89,5.71,4.61,-0.1
Trent Thornton,SEA,33,0,42.1,6.8,2.98,1.28,0.282,71.1,4.68,4.74,4.76,-0.3
Ryan Rolison,COL,31,1,42.1,5.31,4.25,2.34,0.321,67.1,7.02,6.75,5.12,-0.7
Chris Martin,TEX,49,0,42.1,9.14,1.7,1.28,0.319,78.0,2.98,3.58,3.31,0.6
Elvis Alvarado,ATH,37,0,42.1,10.63,4.68,1.28,0.272,82.7,3.19,4.32,4.08,0.1
Eric Orze,TBR,33,0,41.2,8.64,4.1,0.86,0.304,80.9,3.02,4.05,4.65,0.3
Cole Winn,TEX,33,0,41.2,7.56,3.67,0.65,0.194,90.5,1.51,3.9,4.37,0.2
Max Lazar,PHI,36,0,41.1,5.66,2.61,1.52,0.272,69.4,4.79,4.95,4.58,-0.2
Ryan Pressly,CHC,44,0,41.1,6.1,3.7,1.31,0.31,72.4,4.35,5.05,4.54,-0.3
