Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Logan Webb,SFG,34,34,207.0,9.74,2.0,0.61,0.346,74.3,3.22,2.6,2.78,5.5
Garrett Crochet,BOS,32,32,205.1,11.18,2.02,1.05,0.29,84.3,2.59,2.89,2.64,5.8
Cristopher Sánchez,PHI,32,32,202.0,9.45,1.96,0.53,0.298,79.8,2.5,2.55,2.77,6.4
Tarik Skubal,DET,31,31,195.1,11.1,1.52,0.83,0.273,80.6,2.21,2.45,2.66,6.6
Carlos Rodón,NYY,33,33,195.1,9.35,3.36,1.01,0.228,76.4,3.09,3.78,3.89,3.2
Max Fried,NYY,32,32,195.1,8.71,2.35,0.65,0.279,74.0,2.86,3.07,3.41,4.8
Kevin Gausman,TOR,32,32,193.0,8.81,2.33,0.98,0.262,72.2,3.59,3.41,3.77,4.1
Zac Gallen,ARI,33,33,192.0,8.2,3.09,1.45,0.27,67.6,4.83,4.5,4.12,1.1
Framber Valdez,HOU,31,31,192.0,8.77,3.19,0.7,0.297,72.9,3.66,3.37,3.34,4.0
Paul Skenes,PIT,32,32,187.2,10.36,2.01,0.53,0.273,82.4,1.97,2.36,3.03,6.5
Bryan Woo,SEA,30,30,186.2,9.55,1.74,1.25,0.238,80.4,2.94,3.47,3.33,3.6
Zack Littell,2 Tms,32,32,186.2,6.27,1.54,1.74,0.249,81.2,3.81,4.88,4.35,1.5
Hunter Brown,HOU,31,31,185.1,10.0,2.77,0.83,0.262,82.0,2.43,3.14,3.19,4.6
Merrill Kelly,2 Tms,32,32,184.0,8.17,2.35,1.13,0.264,73.2,3.52,3.76,3.81,3.1
Jesús Luzardo,PHI,32,32,183.2,10.58,2.79,0.78,0.324,69.4,3.92,2.9,3.25,5.3
Tanner Bibee,CLE,31,31,182.1,8.0,2.67,1.33,0.281,71.9,4.24,4.34,4.17,1.9
Robbie Ray,SFG,32,32,182.1,9.18,3.6,1.09,0.268,74.2,3.65,3.93,4.29,2.2
Nick Pivetta,SDP,31,31,181.2,9.41,2.48,1.09,0.235,78.7,2.87,3.49,3.85,3.7
Sonny Gray,STL,32,32,180.2,10.01,1.89,1.25,0.329,69.6,4.28,3.39,3.07,3.6
Luis Castillo,SEA,32,32,180.2,8.07,2.29,1.15,0.286,76.8,3.54,3.88,4.09,2.6
Jake Irvin,WSN,33,33,180.0,6.2,3.1,1.9,0.282,68.2,5.7,5.64,4.82,-0.4
Matthew Boyd,CHC,31,31,179.2,7.71,2.1,0.95,0.273,76.2,3.21,3.65,4.22,3.4
Yusei Kikuchi,LAA,33,33,178.1,8.78,3.73,1.21,0.314,76.1,3.99,4.23,4.28,2.5
Freddy Peralta,MIL,33,33,176.2,10.39,3.36,1.07,0.243,85.5,2.7,3.64,3.85,3.6
Brandon Pfaadt,ARI,33,33,176.2,7.49,1.88,1.32,0.316,66.5,5.25,4.22,4.01,1.7
Mitch Keller,PIT,32,32,176.1,7.66,2.6,1.07,0.29,69.6,4.19,4.02,4.17,2.5
Sandy Alcantara,MIA,31,31,174.2,7.32,2.94,1.13,0.278,61.9,5.36,4.28,4.19,1.7
Yoshinobu Yamamoto,LAD,30,30,173.2,10.42,3.06,0.73,0.243,78.5,2.49,2.94,3.05,5.0
Michael Wacha,KCR,31,31,172.2,6.57,2.35,0.78,0.287,72.7,3.86,3.66,4.56,3.6
Jacob deGrom,TEX,30,30,172.2,9.64,1.93,1.36,0.23,83.6,2.97,3.64,3.37,3.4
Dean Kremer,BAL,31,29,171.2,7.44,2.36,1.15,0.284,70.9,4.19,3.97,4.24,2.6
Joe Ryan,MIN,31,30,171.0,10.21,2.05,1.37,0.268,78.6,3.42,3.74,3.7,3.1
Jeffrey Springs,ATH,32,30,171.0,7.26,2.84,1.47,0.255,70.3,4.11,4.65,4.64,1.7
Chris Bassitt,TOR,32,31,170.1,8.77,2.75,1.16,0.315,76.4,3.96,4.01,3.84,2.4
Brady Singer,CIN,32,32,169.2,8.65,3.18,1.01,0.285,72.9,4.03,3.98,4.25,2.9
José Soriano,LAA,31,31,169.0,8.09,4.15,0.64,0.306,67.8,4.26,3.73,3.54,3.0
David Peterson,NYM,30,30,168.2,8.0,3.47,0.59,0.316,69.2,4.22,3.48,3.72,3.1
Dylan Cease,SDP,32,32,168.0,11.52,3.8,1.13,0.32,69.0,4.55,3.56,3.56,3.4
Ryan Pepiot,TBR,31,31,167.2,8.96,3.27,1.4,0.258,75.3,3.86,4.36,4.07,2.0
Gavin Williams,CLE,31,31,167.2,9.29,4.46,1.23,0.254,83.8,3.06,4.39,4.08,1.4
Brayan Bello,BOS,29,28,166.2,6.7,3.19,0.86,0.268,75.3,3.35,4.19,4.39,1.9
Andrew Abbott,CIN,29,29,166.1,8.06,2.33,1.03,0.274,80.0,2.87,3.66,4.31,3.9
Shane Baz,TBR,31,31,166.1,9.52,3.46,1.41,0.303,71.9,4.87,4.37,3.88,2.0
José Berríos,TOR,31,30,166.0,7.48,3.04,1.41,0.285,73.4,4.17,4.65,4.43,1.3
Clay Holmes,NYM,33,31,165.2,7.01,3.59,0.76,0.28,74.0,3.53,4.11,4.25,1.9
Nick Martinez,CIN,40,26,165.2,6.3,2.28,1.2,0.274,68.5,4.45,4.33,4.54,2.1
Kyle Hendricks,LAA,31,31,164.2,6.23,2.35,1.37,0.28,68.3,4.76,4.6,4.73,1.8
Mitchell Parker,WSN,33,30,164.2,5.63,3.17,1.37,0.286,60.5,5.68,4.99,5.08,0.9
Luis Severino,ATH,29,29,162.2,6.86,2.77,0.89,0.293,65.7,4.54,4.11,4.63,2.5
Kyle Freeland,COL,31,31,162.2,6.86,2.1,1.22,0.329,64.0,4.98,4.18,4.29,2.5
Andre Pallante,STL,31,31,162.2,6.14,3.43,1.16,0.295,62.2,5.31,4.68,4.16,0.7
Will Warren,NYY,33,33,162.1,9.48,3.6,1.22,0.303,69.8,4.44,4.07,3.91,2.1
Jack Flaherty,DET,31,31,161.0,10.51,3.3,1.29,0.305,70.5,4.64,3.85,3.69,2.5
MacKenzie Gore,WSN,30,30,159.2,10.43,3.61,1.13,0.325,75.6,4.17,3.74,3.78,2.9
Colin Rea,CHC,32,27,159.1,7.17,2.49,1.13,0.29,74.6,3.95,4.11,4.31,1.9
Chris Paddack,2 Tms,33,28,158.0,6.38,2.11,1.77,0.277,66.4,5.35,5.03,4.69,0.7
Ranger Suárez,PHI,26,26,157.1,8.64,2.17,0.8,0.317,79.0,3.2,3.21,3.61,4.0
Quinn Priester,MIL,29,24,157.1,7.55,2.86,1.03,0.284,79.1,3.32,4.01,3.81,1.9
Tomoyuki Sugano,BAL,30,30,157.0,6.08,2.06,1.89,0.285,77.3,4.64,5.36,4.7,0.1
Logan Allen,CLE,30,29,156.2,7.01,3.56,1.03,0.297,70.6,4.25,4.37,4.72,1.7
Nick Lodolo,CIN,29,28,156.2,8.96,1.78,1.26,0.276,80.7,3.33,3.81,3.66,2.8
Bryce Elder,ATL,28,28,156.1,7.54,2.94,1.38,0.306,67.8,5.3,4.55,4.04,0.9
Miles Mikolas,STL,31,31,156.1,5.76,2.13,1.67,0.28,72.4,4.84,5.03,4.83,0.3
Patrick Corbin,TEX,31,30,155.1,7.59,2.95,1.22,0.306,73.3,4.4,4.25,4.21,1.9
Eduardo Rodriguez,ARI,29,29,154.1,8.34,3.5,1.46,0.329,71.1,5.02,4.57,4.44,1.3
Ryne Nelson,ARI,33,23,154.0,7.71,2.4,0.99,0.252,73.7,3.39,3.73,4.05,2.0
Justin Verlander,SFG,29,29,152.0,8.11,3.08,0.95,0.308,72.9,3.85,3.85,4.57,2.2
Jack Leiter,TEX,29,29,151.2,8.78,3.98,1.07,0.267,74.8,3.86,4.15,4.53,2.3
Matthew Liberatore,STL,29,29,151.2,7.24,2.37,1.13,0.3,70.1,4.21,4.03,4.31,1.8
Drew Rasmussen,TBR,31,31,150.0,7.62,2.22,1.08,0.246,83.6,2.76,3.84,3.72,2.5
Zack Wheeler,PHI,24,24,149.2,11.73,1.98,1.14,0.267,82.4,2.71,3.0,2.73,4.0
Casey Mize,DET,28,28,149.0,8.4,2.17,1.27,0.308,76.3,3.87,3.89,3.97,2.4
Shane Smith,CHW,29,29,146.1,8.92,3.57,1.05,0.26,71.7,3.81,4.1,4.23,2.2
Bailey Ober,MIN,27,27,146.1,7.38,1.91,1.85,0.295,72.5,5.1,4.9,4.75,1.2
Seth Lugo,KCR,26,26,145.1,7.74,3.41,1.67,0.266,79.4,4.15,5.09,4.53,0.5
Lucas Giolito,BOS,26,26,145.0,7.51,3.48,1.06,0.273,76.7,3.41,4.17,4.59,2.0
Shota Imanaga,CHC,25,25,144.2,7.28,1.62,1.93,0.219,81.5,3.73,4.86,4.51,0.9
Taj Bradley,2 Tms,27,27,142.2,8.01,3.53,1.2,0.281,62.7,5.05,4.35,4.37,1.8
Davis Martin,CHW,26,25,142.2,6.56,3.03,1.26,0.274,71.6,4.1,4.64,4.57,1.3
Charlie Morton,3 Tms,33,27,142.0,9.44,4.56,1.46,0.326,70.0,5.83,4.96,4.4,0.3
Michael Lorenzen,KCR,27,26,141.2,8.07,2.48,1.59,0.303,74.2,4.64,4.59,4.23,1.2
Erick Fedde,3 Tms,32,24,141.0,5.3,4.28,1.21,0.284,66.7,5.49,5.2,5.43,-0.2
Noah Cameron,KCR,24,24,138.1,7.42,2.8,1.17,0.241,84.0,2.99,4.18,4.1,1.8
Edward Cabrera,MIA,26,26,137.2,9.81,3.14,1.11,0.292,76.7,3.53,3.83,3.62,2.0
Tyler Anderson,LAA,26,26,136.1,6.87,3.76,1.85,0.263,78.3,4.56,5.6,5.41,0.1
JP Sears,2 Tms,27,27,135.2,7.76,2.39,1.99,0.287,74.1,5.04,5.21,4.76,0.5
Sean Burke,CHW,28,22,134.1,8.91,4.22,1.54,0.291,73.9,4.22,4.92,4.7,0.7
Randy Vásquez,SDP,28,26,133.2,5.25,3.5,1.08,0.261,77.4,3.84,4.85,5.51,0.8
Dustin May,2 Tms,25,23,132.1,8.37,3.81,1.43,0.298,71.5,4.96,4.88,4.53,0.8
Slade Cecconi,CLE,23,23,132.0,7.43,2.18,1.64,0.268,74.4,4.3,4.64,4.09,0.7
Jose Quintana,MIL,24,24,131.2,6.08,3.42,1.23,0.259,73.4,3.96,4.81,4.92,0.8
Logan Gilbert,SEA,25,25,131.0,11.89,2.13,1.37,0.276,78.1,3.44,3.35,2.95,2.6
Brad Lord,WSN,48,19,130.2,7.44,2.96,1.17,0.291,72.2,4.34,4.23,3.95,1.2
Nathan Eovaldi,TEX,22,22,130.0,8.93,1.45,0.69,0.243,86.5,1.73,2.8,3.03,3.7
Antonio Senzatela,COL,30,23,130.0,5.05,3.25,1.52,0.363,66.6,6.65,5.48,5.19,-0.1
Jameson Taillon,CHC,23,23,129.2,6.8,1.87,1.67,0.232,80.3,3.68,4.65,4.34,1.1
Germán Márquez,COL,26,26,126.1,5.91,3.42,1.64,0.336,61.1,6.7,5.47,5.35,0.3
George Kirby,SEA,23,23,126.0,9.79,2.07,1.07,0.315,71.3,4.21,3.37,3.25,2.4
Walker Buehler,2 Tms,26,24,126.0,6.57,4.36,1.57,0.285,75.4,4.93,5.66,5.09,-0.3
Chris Sale,ATL,21,20,125.2,11.82,2.29,0.79,0.313,82.6,2.58,2.67,2.98,3.6
Spencer Strider,ATL,23,23,125.1,9.41,3.66,1.44,0.316,77.4,4.45,4.53,4.24,0.9
Bailey Falter,2 Tms,26,24,125.1,5.82,3.3,1.36,0.259,69.4,4.45,4.94,5.03,0.5
Adrian Houser,2 Tms,21,21,125.0,6.62,2.74,0.72,0.303,77.3,3.31,3.81,4.3,2.3
Taijuan Walker,PHI,34,21,123.2,6.26,3.06,1.53,0.288,78.1,4.08,5.07,4.73,0.5
Andrew Heaney,2 Tms,27,23,122.1,6.33,2.94,1.84,0.277,70.6,5.52,5.59,4.93,-0.3
Chad Patrick,MIL,27,23,119.2,9.55,3.01,0.98,0.313,77.8,3.53,3.53,3.98,2.6
Cade Horton,CHC,23,22,118.0,7.4,2.52,0.76,0.258,78.3,2.67,3.58,4.27,2.2
Cal Quantrill,2 Tms,26,26,117.2,6.5,2.68,1.68,0.311,65.4,6.04,5.14,4.89,0.4
Kris Bubic,KCR,20,20,116.1,8.97,3.02,0.46,0.295,77.5,2.55,2.89,3.63,3.3
Grant Holmes,ATL,22,21,115.0,9.63,4.23,1.25,0.288,78.6,3.99,4.4,4.04,0.9
Kodai Senga,NYM,22,22,113.1,8.66,4.37,0.95,0.271,79.9,3.02,4.12,4.35,1.4
Clayton Kershaw,LAD,23,22,112.2,6.71,2.8,0.64,0.281,72.8,3.36,3.55,4.18,2.5
Stephen Kolek,2 Tms,19,19,112.2,6.15,2.48,0.72,0.264,70.5,3.51,3.82,4.16,1.7
Cade Povich,BAL,22,20,112.1,9.45,3.45,1.36,0.35,68.2,5.21,4.18,3.95,1.4
Simeon Woods Richardson,MIN,23,22,111.1,8.65,3.72,1.37,0.265,75.9,4.04,4.52,4.71,1.2
Jack Kochanowicz,LAA,23,23,111.0,5.84,4.7,1.7,0.325,65.3,6.81,6.05,5.18,-0.6
Spencer Schwellenbach,ATL,17,17,110.2,8.78,1.46,1.06,0.259,71.6,3.09,3.25,3.01,2.4
Janson Junk,MIA,21,16,110.0,6.3,1.06,0.65,0.301,63.7,4.17,3.14,4.06,2.5
Trevor Rogers,BAL,18,18,109.2,8.45,2.38,0.49,0.226,84.2,1.81,2.82,3.64,3.3
Hunter Greene,CIN,19,19,107.2,11.03,2.17,1.25,0.245,82.9,2.76,3.27,3.27,2.9
Landen Roupp,SFG,22,22,106.2,8.61,3.8,0.93,0.324,72.8,3.8,3.91,4.1,1.1
Ben Brown,CHC,25,15,106.1,10.24,2.71,1.52,0.347,63.7,5.92,4.08,3.56,1.1
Eric Lauer,TOR,28,15,104.2,8.77,2.24,1.29,0.267,81.4,3.18,3.85,4.15,1.4
Jonathan Cannon,CHW,22,17,103.2,7.47,3.3,1.65,0.306,68.2,5.82,5.13,4.92,0.4
Aaron Civale,3 Tms,23,18,102.0,7.76,2.91,1.41,0.275,67.8,4.85,4.63,4.73,0.9
Ryan Gusto,2 Tms,27,17,101.2,8.59,3.19,1.5,0.326,67.1,5.67,4.61,4.61,0.8
Mike Vasil,CHW,47,3,101.0,7.31,4.63,0.71,0.242,83.1,2.5,4.32,4.67,0.4
Carmen Mlodzinski,PIT,34,12,99.0,8.09,2.45,0.73,0.323,74.7,3.55,3.33,3.6,1.6
Chase Dollander,COL,21,21,98.0,7.53,4.5,1.65,0.297,61.7,6.52,5.53,4.97,0.1
Joey Wentz,3 Tms,39,13,98.0,8.45,3.95,1.01,0.336,63.5,5.6,4.06,4.51,1.1
Tyler Alexander,2 Tms,52,5,97.2,7.56,2.76,0.83,0.327,60.9,4.98,3.64,4.38,1.3
Mike Burrows,PIT,23,19,96.0,9.09,2.91,1.22,0.293,76.6,3.94,4.0,3.86,1.3
Michael McGreevy,STL,17,16,95.2,5.46,1.88,1.13,0.287,68.7,4.42,4.27,4.32,0.9
Eury Pérez,MIA,20,20,95.1,9.91,3.02,1.13,0.24,65.0,4.25,3.67,4.07,1.9
Joey Cantillo,CLE,34,13,95.1,10.2,3.97,0.94,0.282,76.4,3.21,3.55,3.66,1.5
Aaron Nola,PHI,17,17,94.1,9.25,2.67,1.72,0.315,62.4,6.01,4.58,3.71,0.9
Jacob Lopez,ATH,21,17,92.2,10.97,3.59,1.46,0.292,75.2,4.08,4.26,4.13,1.2
Sean Newcomb,2 Tms,48,5,92.1,8.87,3.02,0.49,0.344,76.4,2.73,3.04,3.69,1.7
Keider Montero,DET,20,12,90.2,7.15,3.08,1.59,0.295,77.7,4.37,4.93,4.46,0.1
J.T. Ginn,ATH,23,16,90.1,9.86,3.09,1.69,0.314,73.2,5.08,4.62,3.52,0.8
Bryce Miller,SEA,18,18,90.1,7.37,3.39,1.69,0.288,68.7,5.68,5.17,4.6,0.0
Tyler Glasnow,LAD,18,18,90.1,10.56,4.28,1.0,0.225,78.4,3.19,3.76,3.72,1.6
Emerson Hancock,SEA,22,16,90.0,6.4,3.1,1.5,0.289,72.2,4.9,5.08,4.61,0.0
Michael Soroka,2 Tms,22,17,89.2,9.54,2.91,1.2,0.263,67.5,4.52,4.23,4.21,1.1
Luis Ortiz,CLE,16,16,88.2,9.74,4.26,1.22,0.294,74.4,4.36,4.18,3.83,0.9
Kyle Leahy,STL,62,1,88.0,8.18,2.86,0.51,0.301,75.5,3.07,3.04,3.76,1.4
Tyler Mahle,TEX,16,16,86.2,6.85,3.01,0.52,0.26,84.6,2.18,3.37,4.43,1.9
Colton Gordon,HOU,20,14,86.0,7.53,1.99,2.2,0.309,74.0,5.34,5.37,4.43,0.0
Jacob Latz,TEX,33,8,85.2,7.98,3.89,0.74,0.272,81.1,2.84,3.72,4.37,1.3
Max Scherzer,TOR,17,17,85.0,8.68,2.44,2.01,0.293,73.8,5.19,4.99,4.55,0.4
Mitch Spence,ATH,32,8,84.2,7.02,2.76,1.7,0.304,66.6,5.1,5.1,4.35,0.0
Jimmy Herget,COL,59,0,83.1,8.75,2.81,0.65,0.291,83.9,2.48,3.32,4.28,1.3
Trevor Williams,WSN,17,17,82.2,7.08,2.29,1.2,0.347,61.6,6.21,4.13,4.56,1.2
Logan Evans,SEA,16,15,81.1,6.53,3.43,1.44,0.284,72.9,4.32,5.05,4.87,-0.1
Valente Bellozo,MIA,32,6,81.1,5.98,2.55,1.66,0.278,74.7,4.65,5.2,5.34,-0.2
Spencer Bivens,SFG,54,0,81.0,6.78,2.78,0.67,0.313,67.9,4.0,3.7,4.26,0.4
Osvaldo Bido,ATH,26,10,79.2,7.68,3.95,2.15,0.315,72.6,5.87,6.07,5.47,-0.6
Zebby Matthews,MIN,16,16,79.1,9.98,2.72,1.36,0.357,67.2,5.56,3.79,3.81,1.4
Tyler Holton,DET,70,6,78.2,7.32,1.94,1.72,0.231,78.7,3.66,4.64,3.57,-0.2
Clarke Schmidt,NYY,14,14,78.2,8.35,3.43,1.03,0.232,78.0,3.32,3.95,4.44,1.3
Eduard Bazardo,SEA,73,0,78.2,9.38,3.09,1.03,0.228,85.0,2.52,3.64,3.84,0.5
Tyler Phillips,MIA,54,1,77.2,6.03,2.78,0.93,0.251,81.5,2.78,4.14,4.19,0.1
Ben Casparius,LAD,46,3,77.2,8.23,2.43,0.93,0.304,67.2,4.64,3.57,4.36,1.3
Tyler Rogers,2 Tms,81,0,77.1,5.59,0.81,0.47,0.259,78.9,1.98,2.88,3.08,1.3
Jason Alexander,2 Tms,18,13,77.1,7.56,3.03,1.75,0.286,72.7,4.77,5.1,4.19,0.2
Carlos Vargas,SEA,70,0,77.0,6.31,2.69,1.17,0.3,74.2,3.97,4.59,4.24,-0.6
Steven Matz,2 Tms,53,2,76.2,6.93,1.29,0.94,0.284,73.5,3.05,3.46,3.71,1.1
Griffin Canning,NYM,16,16,76.1,8.25,4.13,0.94,0.288,74.6,3.77,4.04,4.09,0.9
Ryan Bergert,2 Tms,19,15,76.1,8.61,4.13,0.94,0.257,75.8,3.66,4.0,4.68,1.0
Jose A. Ferrer,WSN,72,0,76.1,8.37,1.89,0.59,0.338,64.9,4.48,3.03,3.09,1.4
Jack Dreyer,LAD,67,5,76.1,8.72,2.83,0.47,0.254,72.6,2.95,2.82,4.0,1.7
Edwin Uceta,TBR,70,0,76.0,12.2,3.2,1.3,0.297,78.4,3.79,3.69,3.43,0.9
Pablo López,MIN,14,14,75.2,8.68,2.38,0.71,0.278,75.4,2.74,3.19,3.87,1.8
Tanner Gordon,COL,15,15,75.1,7.41,2.03,1.91,0.335,59.8,6.33,5.05,4.33,0.6
Abner Uribe,MIL,75,0,75.1,10.75,3.23,0.48,0.275,84.2,1.67,2.75,2.96,1.7
Shawn Armstrong,TEX,71,2,74.0,9.0,2.43,0.61,0.196,76.3,2.31,3.07,3.98,1.4
Adrian Morejon,SDP,75,0,73.2,8.55,2.08,0.24,0.239,68.0,2.08,2.28,3.08,2.2
Cade Smith,CLE,76,0,73.2,12.71,2.32,0.49,0.302,64.9,2.93,1.95,2.65,2.7
Tony Santillan,CIN,80,0,73.2,9.16,3.54,0.86,0.249,82.9,2.44,3.72,4.05,1.1
Emmet Sheehan,LAD,15,12,73.1,10.92,2.7,0.86,0.246,69.6,2.82,2.93,3.37,2.1
Jackson Rutledge,WSN,63,0,73.1,7.98,2.95,1.96,0.326,72.2,5.77,5.47,4.69,-0.5
Michael King,SDP,15,15,73.1,9.33,3.19,1.47,0.263,81.1,3.44,4.42,4.2,0.8
Cam Schlittler,NYY,14,14,73.0,10.36,3.82,0.99,0.284,84.5,2.96,3.74,3.77,1.3
Yariel Rodríguez,TOR,66,1,73.0,8.14,4.19,0.99,0.228,81.2,3.08,4.4,4.6,0.1
Jeremiah Estrada,SDP,77,0,73.0,13.32,3.33,1.48,0.299,80.1,3.45,3.55,3.18,1.0
Ronny Henriquez,MIA,69,0,73.0,12.08,3.33,0.99,0.271,83.8,2.22,3.15,3.39,1.3
Tyler Kinley,2 Tms,73,0,72.2,9.04,4.09,0.74,0.244,67.0,3.96,3.69,4.59,0.9
Louis Varland,2 Tms,74,1,72.2,9.29,2.72,0.74,0.309,76.9,2.97,3.14,3.1,1.2
Cole Sands,MIN,69,3,72.0,8.0,2.38,0.88,0.283,60.1,4.5,3.58,4.05,0.8
Garrett Whitlock,BOS,62,0,72.0,11.38,3.0,0.25,0.304,77.3,2.25,2.18,3.1,2.2
Yu Darvish,SDP,15,15,72.0,8.5,2.38,1.75,0.275,65.8,5.38,4.82,4.15,0.4
Steven Okert,HOU,68,1,71.2,10.55,2.39,0.75,0.236,71.2,3.01,2.76,3.69,1.6
Wandy Peralta,SDP,71,1,71.2,7.91,3.77,0.63,0.286,75.8,3.14,3.62,3.86,0.5
Zach Eflin,BAL,14,14,71.1,6.31,1.64,2.27,0.31,70.7,5.93,5.64,4.37,-0.3
Bryan Abreu,HOU,70,0,71.0,13.31,3.93,0.51,0.309,84.6,2.28,2.39,2.98,2.2
Lake Bachar,MIA,53,1,71.0,9.51,3.8,1.27,0.253,73.0,3.93,4.25,4.22,0.1
Hoby Milner,TEX,73,0,70.1,7.42,2.69,0.64,0.304,66.7,3.84,3.39,3.96,1.0
Dennis Santana,PIT,70,0,70.1,7.68,2.18,0.64,0.211,80.7,2.18,3.21,4.17,1.2
Jhoan Duran,2 Tms,72,0,70.0,10.29,2.44,0.39,0.302,80.5,2.06,2.35,2.59,2.1
Braxton Ashcraft,PIT,26,8,69.2,9.17,3.1,0.39,0.313,79.0,2.71,2.78,3.54,1.6
Robert Suarez,SDP,70,0,69.2,9.69,2.07,0.78,0.241,72.4,2.97,2.88,3.33,1.9
Brad Keller,CHC,68,1,69.2,9.69,2.84,0.52,0.243,81.6,2.07,2.93,3.32,1.3
Brandon Eisert,CHW,72,3,69.2,9.56,3.23,1.55,0.332,78.2,4.39,4.54,4.05,0.1
Grant Anderson,MIL,66,0,69.2,9.56,3.75,1.03,0.274,69.8,3.23,3.84,3.87,0.4
Emilio Pagán,CIN,70,0,68.2,10.62,2.88,1.31,0.2,76.5,2.88,3.72,3.91,1.0
Bryan Baker,2 Tms,73,0,68.2,10.88,2.23,1.7,0.286,74.4,4.06,3.92,3.08,0.5
Will Vest,DET,64,0,68.2,9.83,2.88,0.52,0.313,74.0,3.01,2.71,3.03,1.8
Reese Olson,DET,13,13,68.2,8.52,3.28,0.66,0.286,79.0,3.15,3.5,4.03,1.4
Scott Barlow,CIN,75,1,68.1,9.88,5.93,1.05,0.249,73.5,4.21,4.7,4.71,0.1
Brendon Little,TOR,79,0,68.1,11.99,5.93,0.26,0.297,72.7,3.03,2.92,3.37,1.3
Dylan Lee,ATL,74,0,68.1,10.01,1.84,1.71,0.245,82.0,3.29,4.0,3.22,0.3
Tylor Megill,NYM,14,14,68.1,11.72,4.35,0.79,0.318,68.8,3.95,3.43,3.73,1.5
Jeff Hoffman,TOR,71,0,68.0,11.12,3.57,1.99,0.248,79.7,4.37,4.9,3.73,-0.4
Bryan King,HOU,68,0,68.0,9.13,1.46,1.32,0.276,88.5,2.78,3.68,3.33,0.7
Brent Suter,CIN,48,3,67.2,7.05,2.39,1.46,0.28,69.3,4.52,4.57,4.3,0.1
Daniel Lynch IV,KCR,57,2,67.2,5.99,3.46,1.06,0.284,85.3,3.06,4.76,4.82,-0.2
Tanner Banks,PHI,69,1,67.1,8.15,1.6,1.2,0.255,79.8,3.07,3.64,3.67,0.8
Raisel Iglesias,ATL,70,0,67.1,9.76,2.14,1.07,0.257,76.1,3.21,3.31,3.78,1.0
Jordan Hicks,2 Tms,34,9,67.1,7.75,4.28,0.8,0.352,57.3,6.95,4.35,4.39,0.3
Greg Weissert,BOS,72,0,67.0,7.66,2.82,0.81,0.267,74.4,2.82,3.67,4.33,0.7
Tim Hill,NYY,70,0,67.0,4.97,2.15,1.07,0.24,74.8,3.09,4.3,3.92,0.0
José Buttó,2 Tms,55,0,67.0,7.79,4.3,0.54,0.309,71.9,3.9,3.7,4.38,0.5
Hunter Gaddis,CLE,73,0,66.2,9.86,2.84,1.08,0.292,81.4,3.11,3.5,3.69,0.8
Jakob Junis,CLE,57,0,66.2,7.43,2.43,0.68,0.307,78.5,2.97,3.45,4.21,0.6
Justin Wrobleski,LAD,24,2,66.2,10.26,2.3,0.81,0.331,66.6,4.32,2.93,2.87,1.5
Aaron Ashby,MIL,43,1,66.2,10.26,3.24,0.41,0.313,84.8,2.16,2.7,2.97,1.2
Edwin Díaz,NYM,62,0,66.1,13.3,2.85,0.54,0.26,86.1,1.63,2.28,2.49,2.0
Jacob Webb,TEX,55,0,66.0,7.91,2.59,1.36,0.219,82.1,3.0,4.3,4.55,0.2
Griffin Jax,2 Tms,73,2,66.0,13.5,2.86,0.95,0.368,69.6,4.23,2.51,2.19,1.7
Jared Koenig,MIL,72,0,66.0,9.27,2.73,0.82,0.3,82.6,2.86,3.35,3.8,0.9
Jacob Misiorowski,MIL,15,14,66.0,11.86,4.23,1.09,0.299,69.1,4.36,3.62,3.66,1.2
Carlos Estévez,KCR,67,0,66.0,7.36,3.0,0.68,0.234,77.6,2.45,3.67,4.95,1.1
Enyel De Los Santos,2 Tms,65,0,66.0,8.45,3.27,0.95,0.292,67.4,4.36,3.82,4.26,0.4
Hayden Birdsong,SFG,21,10,65.2,9.32,5.07,1.37,0.287,68.5,4.8,4.96,5.0,0.0
Camilo Doval,2 Tms,69,0,65.1,9.92,4.82,0.55,0.287,65.9,3.58,3.47,3.74,0.6
Jason Adam,SDP,65,0,65.1,9.64,3.44,0.55,0.274,82.9,1.93,3.07,3.98,1.2
Graham Ashcraft,CIN,62,0,65.1,8.82,3.44,0.28,0.342,62.1,3.99,2.72,3.29,1.6
Caleb Ferguson,2 Tms,70,0,65.1,7.03,3.03,0.28,0.275,69.4,3.58,3.26,4.06,0.8
Anthony Banda,LAD,71,1,65.0,8.45,4.71,1.11,0.227,83.1,3.18,4.52,4.77,0.1
Kolby Allard,CLE,33,2,65.0,5.82,1.94,0.69,0.289,79.2,2.63,3.54,4.67,0.7
Justin Sterner,ATH,59,1,65.0,9.69,2.91,1.38,0.234,83.6,3.18,4.27,4.19,0.3
Luke Weaver,NYY,64,0,64.2,10.02,2.78,1.39,0.226,73.6,3.62,3.89,4.12,0.5
Max Meyer,MIA,12,12,64.2,9.46,2.78,1.67,0.328,71.2,4.73,4.47,3.51,0.5
Brandon Woodruff,MIL,12,12,64.2,11.55,1.95,1.25,0.243,72.9,3.2,3.17,3.24,1.8
Angel Zerpa,KCR,69,2,64.2,8.07,3.06,0.97,0.323,75.1,4.18,3.86,3.5,0.3
